2026-04-11 13:12:59 | pipeline.daily         | INFO  | [DRY RUN] would insert pipeline_runs row for stage=daily:all
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [stage] scrape:pricecharting
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [DRY RUN] would run scraper pricecharting (~300 min)
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [stage] scrape:onethirty_point
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [DRY RUN] would run scraper onethirty_point (~25 min)
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [stage] scrape:tcgplayer
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [DRY RUN] would run scraper tcgplayer (~15 min)
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [stage] transform:interpolation
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [DRY RUN] would interpolate price_history
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [stage] transform:ebay_derived
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [DRY RUN] would compute ebay_derived
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [stage] transform:composite_price
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [DRY RUN] would compute composite_price
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [stage] compute:ev_calculator
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [DRY RUN] would run compute.ev_calculator
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [stage] compute:pack_cost
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [DRY RUN] would run compute.pack_cost
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [stage] compute:market_pressure
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [DRY RUN] would run compute.market_pressure
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [stage] compute:leaderboard
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [DRY RUN] would run compute.leaderboard
2026-04-11 13:12:59 | pipeline.daily         | INFO  | [DRY RUN] would finish pipeline_runs: status=done notes=date=2026-04-11 | scrape:pricecharting=0.0s | scrape:onethirty_point=0.0s | scrape:tcgplayer=0.0s | transform:interpolation=0.0s | transform:ebay_derived=0.0s | transform:composite_price=0.0s | compute:ev_calculator=0.0s | compute:pack_cost=0.0s | compute:market_pressure=0.0s | compute:leaderboard=0.0s
2026-04-11 13:13:04 | pipeline.daily         | INFO  | pipeline_runs row created: id=2 stage=daily:compute date=2026-04-11
2026-04-11 13:13:04 | pipeline.daily         | INFO  | [stage] compute:ev_calculator
2026-04-11 13:13:04 | pipeline.compute.ev_calculator | INFO  | ev_calculator set=ASC date=2026-04-11  ev_raw=6.8868  ev_psa10=54.7927  total_raw=6309.8700  buckets=6  cards=121
2026-04-11 13:13:04 | pipeline.compute.ev_calculator | INFO  | ev_calculator set=BLK date=2026-04-11  ev_raw=4.4204  ev_psa10=34.0921  total_raw=2466.9900  buckets=5  cards=93
2026-04-11 13:13:04 | pipeline.compute.ev_calculator | INFO  | ev_calculator set=DRI date=2026-04-11  ev_raw=2.8779  ev_psa10=22.4282  total_raw=1779.1600  buckets=5  cards=79
2026-04-11 13:13:04 | pipeline.compute.ev_calculator | INFO  | ev_calculator set=JTG date=2026-04-11  ev_raw=1.7639  ev_psa10=21.2598  total_raw=474.8200  buckets=5  cards=47
2026-04-11 13:13:04 | pipeline.compute.ev_calculator | INFO  | ev_calculator set=MEG date=2026-04-11  ev_raw=2.4042  ev_psa10=16.4412  total_raw=1523.1400  buckets=5  cards=66
2026-04-11 13:13:04 | pipeline.compute.ev_calculator | INFO  | ev_calculator set=MEW date=2026-04-11  ev_raw=9.1610  ev_psa10=59.0342  total_raw=1892.9600  buckets=5  cards=55
2026-04-11 13:13:04 | pipeline.compute.ev_calculator | INFO  | ev_calculator set=OBF date=2026-04-11  ev_raw=2.4482  ev_psa10=27.7833  total_raw=432.1800  buckets=5  cards=55
